fullname,age,status
COUZ,78,OK
KQUP,69,OK
XCXU,12,OK
OJQA,10,OK
MOIC,24,OK
YGUD,63,OK
BBNB,17,OK
ZHXL,25,OK
BIYG,40,OK
TLAE,46,OK
DYOU,40,OK
AVKV,76,OK
GVHR,15,OK
HPDY,80,OK
WXKT,43,OK
YMCA,50,OK
WZGH,44,OK
JARE,28,OK
PPVC,14,OK
UYQT,24,OK
DXLM,54,OK
JSBN,20,OK
WLIJ,14,OK
GNFU,69,OK
UBMR,33,OK
KXSP,45,OK
RWSQ,45,OK
DJLC,44,OK
LVXJ,17,OK
WHMI,73,OK
JGVZ,27,OK
OTOH,12,OK
CNSB,80,OK
EKWS,17,OK
IALD,12,OK
EAGO,18,OK
AMJO,50,OK
KQYK,25,OK
HTLF,39,OK
IIGC,13,OK
SYLX,23,OK
JSAL,10,OK
LMOO,28,OK
ZIEG,69,OK
IBNC,71,OK
DSTF,30,OK
IUDT,10,OK
RJLW,13,OK
XDNL,79,OK
URUC,43,OK
OTRD,29,OK
NTJV,41,OK
CAOK,40,OK
FERC,38,OK
ELWI,31,OK
KOFE,79,OK
OWGL,59,OK
GKVD,49,OK
OPPU,21,OK
NCUO,24,OK
XYYL,60,OK
MMDE,25,OK
JIEB,28,OK
VKXM,28,OK
EJMZ,72,OK
RNRH,68,OK
XWUC,60,OK
WOYK,25,OK
OUNZ,71,OK
DXJW,47,OK
BPZN,63,OK
OUXM,68,OK
ISKN,66,OK
CRNC,38,OK
QGKT,55,OK
XQJM,71,OK
LLNQ,72,OK
EZPF,48,OK
UWTZ,72,OK
XJCS,58,OK
LWCK,31,OK
RUYG,40,OK
KIRA,21,OK
GOKK,61,OK
MMHY,52,OK
OZTZ,14,OK
HVGQ,43,OK
ULDA,46,OK
SKSR,35,OK
JEHA,19,OK
XUNU,53,OK
ROEC,51,OK
PLQS,28,OK
TQKG,39,OK
CWBI,18,OK
VJAF,18,OK
AKAX,31,OK
DIAS,12,OK
JTED,46,OK
SZSC,30,OK
LKXF,21,OK
TRHG,53,OK
AVIM,44,OK
ORND,19,OK
DJWB,40,OK
JDNB,35,OK
NITW,57,OK
LOXD,25,OK
HODA,76,OK
UFFX,64,OK
IYWS,51,OK
MPSE,38,OK
NCXU,20,OK
CBTK,51,OK
ZEDY,53,OK
XXKN,41,OK
PWEA,53,OK
NIFW,60,OK
AQAO,70,OK
ARSJ,28,OK
ADHW,60,OK
WZBY,38,OK
CLZE,63,OK
GMXU,40,OK
NNLU,42,OK
VDAZ,33,OK
LIIK,78,OK
WPNQ,68,OK
DEFW,50,OK
SWND,72,OK
KPWG,45,OK
XTAI,16,OK
RHCJ,76,OK
YQPB,16,OK
LSHX,78,OK
QPJH,77,OK
TJRN,46,OK
BBTG,46,OK
HGGF,15,OK
JXBT,13,OK
MFWV,20,OK
XNOR,73,OK
ASHG,29,OK
YGMK,21,OK
XVBO,14,OK
KBKE,52,OK
PMWD,25,OK
TMMI,46,OK
MFZA,35,OK
BNDL,45,OK
LGJM,32,OK
RDSM,61,OK
ZUXV,46,OK
CBJR,40,OK
TABL,64,OK
GUND,41,OK
NHKT,37,OK
RGAT,42,OK
TBED,77,OK
ITZQ,27,OK
UOCT,64,OK
WNXY,13,OK
GKKO,17,OK
TFGE,27,OK
LHLV,21,OK
ZMVL,55,OK
RUHS,61,OK
XYBK,80,OK
XLXV,39,OK
JNLK,37,OK
ZABH,49,OK
PAOJ,39,OK
TQJX,68,OK
BMEA,10,OK
MJKC,15,OK
QBFZ,17,OK
GVWD,78,OK
ASFY,13,OK
IFIO,60,OK
ITUN,59,OK
ZYYQ,78,OK
BZYJ,64,OK
STAB,43,OK
GBNN,22,OK
BQBQ,65,OK
QNCK,26,OK
MLSP,45,OK
LSXJ,68,OK
LCLA,64,OK
QNYG,39,OK
JXZJ,30,OK
QVQO,52,OK
BFEO,64,OK
KBQY,77,OK
MALX,31,OK
FSPV,24,OK
RRHV,48,OK
EYZS,24,OK
PYNJ,67,OK
LIIY,55,OK
OWZE,29,OK
TRCK,38,OK
NHAU,15,OK
KQII,42,OK
VAQF,29,OK
XFKW,61,OK
ISRK,61,OK
MFYV,34,OK
IKSR,10,OK
TBJA,38,OK
DOUK,48,OK
VAQD,69,OK
QESU,22,OK
GCPD,48,OK
PMIV,41,OK
ICFS,23,OK
IBHU,41,OK
LFNM,68,OK
HLSE,68,OK
KPYZ,22,OK
GTNK,57,OK
DVAD,77,OK
IFEM,44,OK
GIJD,67,OK
KOBG,54,OK
PNVW,43,OK
ZIFG,22,OK
CLOK,70,OK
QHAT,10,OK
ITZP,43,OK
VMDW,71,OK
QKYE,56,OK
ZDHZ,77,OK
FRQR,67,OK
MEVX,67,OK
XANS,39,OK
BFZH,41,OK
YOEY,50,OK
WCOO,35,OK
TCPP,78,OK
ULFA,13,OK
WDVC,56,OK
PTME,65,OK
TZQK,62,OK
HKCZ,20,OK
GMCC,40,OK
HNYA,19,OK
TKFP,31,OK
YYCB,24,OK
QDMH,36,OK
KZTU,37,OK
HCDX,39,OK
VNSL,11,OK
DTVD,18,OK
CEEC,48,OK
OZRK,52,OK
UPNM,62,OK
BFXJ,38,OK
ITXY,60,OK
TOPJ,52,OK
JLHO,28,OK
LHNQ,22,OK
GZEU,59,OK
MFIK,61,OK
GIIG,21,OK
CSPK,19,OK
FDXM,74,OK
RWDK,79,OK
PXQF,64,OK
RXYT,73,OK
XDRP,23,OK
ZBYY,23,OK
QKOC,20,OK
OPAS,15,OK
ALKJ,63,OK
DTTM,40,OK
VTSJ,20,OK
OYDG,57,OK
WYYD,64,OK
MOYX,54,OK
XBZS,55,OK
VGPJ,55,OK
DNVB,11,OK
EUQO,70,OK
PVQO,50,OK
RLKC,76,OK
ZBQA,10,OK
FCAG,17,OK
XFGR,39,OK
CNWJ,19,OK
TTHC,42,OK
RSAF,70,OK
XKBO,40,OK
LCDW,25,OK
VLBZ,62,OK
KKLY,22,OK
OEXH,80,OK
OQNG,41,OK
XXUR,55,OK
CWVF,31,OK
WFBE,28,OK
SORD,30,OK
ENFI,22,OK
ZBBY,50,OK
RBSK,62,OK
FXAW,11,OK
FXES,46,OK
ZCNS,65,OK
STDU,31,OK
NCJQ,44,OK
BCLF,26,OK
HPVC,72,OK
NVEB,78,OK
BTBA,15,OK
XQWE,59,OK
CIFA,67,OK
WYWX,40,OK
IOTO,27,OK
XLZR,20,OK
NDET,27,OK
JIYZ,28,OK
YALX,12,OK
QPEG,52,OK
VZTA,30,OK
LYFM,66,OK
YYXU,30,OK
EZUY,47,OK
OCKY,50,OK
VUGR,53,OK
RLOK,60,OK
LPOF,74,OK
ADLS,25,OK
MPBU,10,OK
XTGB,42,OK
LDVH,64,OK
KAXH,40,OK
KWKI,64,OK
DBEO,54,OK
VHCB,24,OK
GLXS,79,OK
KIXD,31,OK
VOOS,11,OK
CDON,17,OK
TKLJ,52,OK
JUJO,62,OK
NYJH,72,OK
ZXIQ,50,OK
AEJH,76,OK
BRCU,53,OK
VEHR,74,OK
ITNT,54,OK
NOOC,74,OK
ZCYQ,44,OK
TDWE,58,OK
LPLF,27,OK
DKDD,80,OK
ZFGW,26,OK
MKKL,11,OK
KSRZ,61,OK
FIIT,37,OK
CUKO,31,OK
VTEI,37,OK
CXLH,21,OK
CTWS,12,OK
QVTO,26,OK
FRGW,67,OK
OYRN,61,OK
EJSJ,65,OK
BCSV,36,OK
ULHX,78,OK
UFVN,11,OK
MTRH,20,OK
WEQG,29,OK
SFDH,42,OK
IQWL,25,OK
JNFL,41,OK
IFQV,26,OK
HDIE,16,OK
DYLX,69,OK
YHXJ,47,OK
SONN,58,OK
NAVL,56,OK
QZBK,73,OK
ECRD,40,OK
FRQR,69,OK
GDIM,72,OK
QOWW,30,OK
UYOJ,49,OK
XOAG,26,OK
ZZDN,26,OK
NAVD,77,OK
YFQT,11,OK
DZUU,41,OK
VNFN,78,OK
QWPR,31,OK
KHWC,76,OK
VZGE,12,OK
SLTQ,48,OK
SDZJ,44,OK
RFAK,26,OK
JMXM,21,OK
AMUB,38,OK
HBDE,78,OK
NRJM,47,OK
GNNX,39,OK
NJQI,11,OK
FHWI,48,OK
JPEK,72,OK
NAGO,45,OK
IKFH,19,OK
LUJV,21,OK
DMKS,63,OK
RJQN,63,OK
IIIY,42,OK
YECV,57,OK
PXXO,23,OK
TKAJ,78,OK
WQPX,49,OK
LLHW,20,OK
AQRE,32,OK
DVPZ,74,OK
ZUBB,80,OK
VCZC,36,OK
UCNX,79,OK
OSBL,34,OK
CENC,24,OK
SZSU,17,OK
ACMX,73,OK
TEON,63,OK
VBRP,60,OK
FJYE,63,OK
KTKX,43,OK
TKDB,18,OK
VNVY,44,OK
BMYI,29,OK
BPMW,17,OK
SKRQ,79,OK
EUOK,69,OK
VRZC,76,OK
BVLI,77,OK
QZUC,52,OK
BCYZ,31,OK
KYQL,77,OK
WIGK,46,OK
PPSX,39,OK
HQCU,72,OK
YNJW,25,OK
AONZ,76,OK
UGGF,38,OK
SQQC,66,OK
LXDG,51,OK
EIKY,56,OK
NJNT,52,OK
RUQP,43,OK
NYUP,80,OK
MAAA,49,OK
WJTV,74,OK
KEBT,62,OK
AZCD,65,OK
UEXN,42,OK
VHZL,31,OK
FVKT,65,OK
KLRO,50,OK
BVBL,63,OK
INRT,51,OK
ANYB,59,OK
BOZO,80,OK
AUJH,55,OK
JSTX,54,OK
CFVN,50,OK
HENN,51,OK
ZOUI,31,OK
ZPAN,42,OK
IPFG,12,OK
AWDJ,79,OK
YVXO,54,OK
TJZY,51,OK
DYKS,46,OK
FHGQ,47,OK
POBS,24,OK
DLTS,32,OK
UPQG,51,OK
TJVT,28,OK
MRNV,74,OK
WGCP,56,OK
BAAJ,69,OK
ZKTA,38,OK
ICLT,41,OK
UANS,77,OK
VIIO,79,OK
ESCQ,80,OK
UUJK,32,OK
XSWB,42,OK
MSAZ,72,OK
FMFG,24,OK
ONRE,28,OK
IWGO,55,OK
QCNH,73,OK
RQSY,33,OK
ZQTH,25,OK
VTRR,68,OK
WUQB,61,OK
JVNJ,45,OK
PRMB,51,OK
MGOH,27,OK
FSZP,23,OK
YKQD,51,OK
VOBL,62,OK
FWRG,80,OK
PKQO,60,OK
ZEDU,70,OK
UDCV,65,OK
UDRB,10,OK
RLWG,54,OK
VAFR,39,OK
PIOL,56,OK
YPFU,63,OK
GVXX,77,OK
XNVD,74,OK
